Article no.,Title,URL
2,Programming Bottom-Up,http://www.paulgraham.com/progbot.html
5,Lisp for Web-Based Applications,http://www.paulgraham.com/lwba.html
6,Beating the Averages,http://www.paulgraham.com/avg.html
7,Java's Cover,http://www.paulgraham.com/javacover.html
8,Being Popular,http://www.paulgraham.com/popular.html
9,Five Questions about Language Design,http://www.paulgraham.com/langdes.html
10,The Roots of Lisp,http://www.paulgraham.com/rootsoflisp.html
11,The Other Road Ahead,http://www.paulgraham.com/road.html
12,What Made Lisp Different,http://www.paulgraham.com/diff.html
13,Why Arc Isn't Especially Object-Oriented,http://www.paulgraham.com/noop.html
14,Taste for Makers,http://www.paulgraham.com/taste.html
15,What Languages Fix,http://www.paulgraham.com/fix.html
16,Succinctness is Power,http://www.paulgraham.com/power.html
17,Revenge of the Nerds,http://www.paulgraham.com/icad.html
18,A Plan for Spam,http://www.paulgraham.com/spam.html
19,Design and Research,http://www.paulgraham.com/desres.html
20,Better Bayesian Filtering,http://www.paulgraham.com/better.html
21,Why Nerds are Unpopular,http://www.paulgraham.com/nerds.html
22,The Hundred-Year Language,http://www.paulgraham.com/hundred.html
23,If Lisp is So Great,http://www.paulgraham.com/iflisp.html
24,Hackers and Painters,http://www.paulgraham.com/hp.html
25,Filters that Fight Back,http://www.paulgraham.com/ffb.html
26,What You Can't Say,http://www.paulgraham.com/say.html
27,"The Word ""Hacker""",http://www.paulgraham.com/gba.html
28,How to Make Wealth,http://www.paulgraham.com/wealth.html
29,Mind the Gap,http://www.paulgraham.com/gap.html
30,Great Hackers,http://www.paulgraham.com/gh.html
31,The Python Paradox,http://www.paulgraham.com/pypar.html
32,The Age of the Essay,http://www.paulgraham.com/essay.html
33,What the Bubble Got Right,http://www.paulgraham.com/bubble.html
34,A Version 1.0,http://www.paulgraham.com/laundry.html
35,Bradley's Ghost,http://www.paulgraham.com/polls.html
36,"It's Charisma, Stupid",http://www.paulgraham.com/charisma.html
37,Made in USA,http://www.paulgraham.com/usa.html
38,What You'll Wish You'd Known,http://www.paulgraham.com/hs.html
39,How to Start a Startup,http://www.paulgraham.com/start.html
40,A Unified Theory of VC Suckage,http://www.paulgraham.com/venturecapital.html
41,Undergraduation,http://www.paulgraham.com/college.html
42,"Writing,  Briefly",http://www.paulgraham.com/writing44.html
43,Return of the Mac,http://www.paulgraham.com/mac.html
44,Why Smart People Have Bad Ideas,http://www.paulgraham.com/bronze.html
45,The Submarine,http://www.paulgraham.com/submarine.html
46,Hiring is Obsolete,http://www.paulgraham.com/hiring.html
47,What Business Can Learn from Open Source,http://www.paulgraham.com/opensource.html
48,After the Ladder,http://www.paulgraham.com/ladder.html
49,Inequality and Risk,http://www.paulgraham.com/inequality.html
50,What I Did this Summer,http://www.paulgraham.com/sfp.html
51,Ideas for Startups,http://www.paulgraham.com/ideas.html
52,The Venture Capital Squeeze,http://www.paulgraham.com/vcsqueeze.html
53,How to Fund a Startup,http://www.paulgraham.com/startupfunding.html
54,Web 2.0,http://www.paulgraham.com/web20.html
55,Good and Bad Procrastination,http://www.paulgraham.com/procrastination.html
56,How to Do What You Love,http://www.paulgraham.com/love.html
57,Why YC,http://www.paulgraham.com/whyyc.html
58,"6,631,372",http://www.paulgraham.com/6631327.html
59,Are Software Patents Evil?,http://www.paulgraham.com/softwarepatents.html
60,See Randomness,http://www.paulgraham.com/randomness.html
61,The Hardest Lessons for Startups to Learn,http://www.paulgraham.com/startuplessons.html
62,How to Be Silicon Valley,http://www.paulgraham.com/siliconvalley.html
63,Why Startups Condense in America,http://www.paulgraham.com/america.html
64,The Power of the Marginal,http://www.paulgraham.com/marginal.html
65,The Island Test,http://www.paulgraham.com/island.html
66,Copy What You Like,http://www.paulgraham.com/copy.html
67,How to Present to Investors,http://www.paulgraham.com/investors.html
68,A Student's Guide to Startups,http://www.paulgraham.com/mit.html
69,The 18 Mistakes That Kill Startups,http://www.paulgraham.com/startupmistakes.html
70,How Art Can Be Good,http://www.paulgraham.com/goodart.html
71,Learning from Founders,http://www.paulgraham.com/foundersatwork.html
72,Is It Worth Being Wise?,http://www.paulgraham.com/wisdom.html
73,Why to Not Not Start a Startup,http://www.paulgraham.com/notnot.html
74,Microsoft is Dead,http://www.paulgraham.com/microsoft.html
75,Two Kinds of Judgement,http://www.paulgraham.com/judgement.html
76,The Hacker's Guide to Investors,http://www.paulgraham.com/guidetoinvestors.html
77,An Alternative Theory of Unions,http://www.paulgraham.com/unions.html
78,The Equity Equation,http://www.paulgraham.com/equity.html
79,Stuff,http://www.paulgraham.com/stuff.html
80,Holding a Program in One's Head,http://www.paulgraham.com/head.html
81,How Not to Die,http://www.paulgraham.com/die.html
82,News from the Front,http://www.paulgraham.com/colleges.html
83,How to Do Philosophy,http://www.paulgraham.com/philosophy.html
84,The Future of Web Startups,http://www.paulgraham.com/webstartups.html
85,Why to Move to a Startup Hub,http://www.paulgraham.com/startuphubs.html
86,Six Principles for Making New Things,http://www.paulgraham.com/newthings.html
87,Trolls,http://www.paulgraham.com/trolls.html
88,A New Venture Animal,http://www.paulgraham.com/ycombinator.html
89,You Weren't Meant to Have a Boss,http://www.paulgraham.com/boss.html
90,How to Disagree,http://www.paulgraham.com/disagree.html
91,Some Heroes,http://www.paulgraham.com/heroes.html
92,Why There Aren't More Googles,http://www.paulgraham.com/googles.html
93,Be Good,http://www.paulgraham.com/good.html
94,Lies We Tell Kids,http://www.paulgraham.com/lies.html
95,Disconnecting Distraction,http://www.paulgraham.com/distraction.html
96,Cities and Ambition,http://www.paulgraham.com/cities.html
97,The Pooled-Risk Company Management Company,http://www.paulgraham.com/prcmc.html
98,A Fundraising Survival Guide,http://www.paulgraham.com/fundraising.html
99,Why to Start a Startup in a Bad Economy,http://www.paulgraham.com/badeconomy.html
100,"The Other Half of ""Artists Ship""",http://www.paulgraham.com/artistsship.html
101,The High-Res Society,http://www.paulgraham.com/highres.html
102,Could VC be a Casualty of the Recession?,http://www.paulgraham.com/divergence.html
103,After Credentials,http://www.paulgraham.com/credentials.html
104,Keep Your Identity Small,http://www.paulgraham.com/identity.html
105,Startups in 13 Sentences,http://www.paulgraham.com/13sentences.html
106,What I've Learned from Hacker News,http://www.paulgraham.com/hackernews.html
107,Can You Buy a Silicon Valley?  Maybe.,http://www.paulgraham.com/maybe.html
108,Why TV Lost,http://www.paulgraham.com/convergence.html
109,How to Be an Angel Investor,http://www.paulgraham.com/angelinvesting.html
110,Relentlessly Resourceful,http://www.paulgraham.com/relres.html
111,Five Founders,http://www.paulgraham.com/5founders.html
112,The Founder Visa,http://www.paulgraham.com/foundervisa.html
113,Why Twitter is a Big Deal,http://www.paulgraham.com/twitter.html
114,A Local Revolution?,http://www.paulgraham.com/revolution.html
115,"Maker's Schedule, Manager's Schedule",http://www.paulgraham.com/makersschedule.html
116,Ramen Profitable,http://www.paulgraham.com/ramenprofitable.html
117,The Trouble with the Segway,http://www.paulgraham.com/segway.html
118,What Kate Saw in Silicon Valley,http://www.paulgraham.com/kate.html
119,The Anatomy of Determination,http://www.paulgraham.com/determination.html
120,The List of N Things,http://www.paulgraham.com/nthings.html
121,Post-Medium Publishing,http://www.paulgraham.com/publishing.html
122,Persuade xor Discover,http://www.paulgraham.com/discover.html
123,What Startups Are Really Like,http://www.paulgraham.com/really.html
124,Apple's Mistake,http://www.paulgraham.com/apple.html
125,Organic Startup Ideas,http://www.paulgraham.com/organic.html
126,How to Lose Time and Money,http://www.paulgraham.com/selfindulgence.html
127,The Top Idea in Your Mind,http://www.paulgraham.com/top.html
128,The Acceleration of Addictiveness,http://www.paulgraham.com/addiction.html
129,The Future of Startup Funding,http://www.paulgraham.com/future.html
130,What Happened to Yahoo,http://www.paulgraham.com/yahoo.html
131,High Resolution Fundraising,http://www.paulgraham.com/hiresfund.html
132,Where to See Silicon Valley,http://www.paulgraham.com/seesv.html
133,The New Funding Landscape,http://www.paulgraham.com/superangels.html
134,What We Look for in Founders,http://www.paulgraham.com/founders.html
135,Tablets,http://www.paulgraham.com/tablets.html
136,Founder Control,http://www.paulgraham.com/control.html
137,Subject: Airbnb,http://www.paulgraham.com/airbnb.html
138,The Patent Pledge,http://www.paulgraham.com/patentpledge.html
139,Why Startup Hubs Work,http://www.paulgraham.com/hubs.html
140,"Snapshot: Viaweb, June 1998",http://www.paulgraham.com/vw.html
141,Schlep Blindness,http://www.paulgraham.com/schlep.html
142,A Word to the Resourceful,http://www.paulgraham.com/word.html
143,Frighteningly Ambitious Startup Ideas,http://www.paulgraham.com/ambitious.html
144,Defining Property,http://www.paulgraham.com/property.html
145,How Y Combinator Started,http://www.paulgraham.com/ycstart.html
146,Writing and Speaking,http://www.paulgraham.com/speak.html
147,The Top of My Todo List,http://www.paulgraham.com/todo.html
148,Black Swan Farming,http://www.paulgraham.com/swan.html
149,Startup = Growth,http://www.paulgraham.com/growth.html
150,The Hardware Renaissance,http://www.paulgraham.com/hw.html
151,How to Get Startup Ideas,http://www.paulgraham.com/startupideas.html
152,Startup Investing Trends,http://www.paulgraham.com/invtrend.html
153,Do Things that Don't Scale,http://www.paulgraham.com/ds.html
154,How to Convince Investors,http://www.paulgraham.com/convince.html
155,Investor Herd Dynamics,http://www.paulgraham.com/herd.html
156,How to Raise Money,http://www.paulgraham.com/fr.html
157,Before the Startup,http://www.paulgraham.com/before.html
158,Mean People Fail,http://www.paulgraham.com/mean.html
159,The Fatal Pinch,http://www.paulgraham.com/pinch.html
160,How You Know,http://www.paulgraham.com/know.html
161,How to Be an Expert in a Changing World,http://www.paulgraham.com/ecw.html
162,Let the Other 95% of Great Programmers In,http://www.paulgraham.com/95.html
163,Don't Talk to Corp Dev,http://www.paulgraham.com/corpdev.html
164,What Doesn't Seem Like Work?,http://www.paulgraham.com/work.html
165,The Ronco Principle,http://www.paulgraham.com/ronco.html
166,What Microsoft Is this the Altair Basic of?,http://www.paulgraham.com/altair.html
167,Change Your Name,http://www.paulgraham.com/name.html
168,Why It's Safe for Founders to Be Nice,http://www.paulgraham.com/safe.html
169,Default Alive or Default Dead?,http://www.paulgraham.com/aord.html
170,Write Like You Talk,http://www.paulgraham.com/talk.html
171,A Way to Detect Bias,http://www.paulgraham.com/bias.html
172,Jessica Livingston,http://www.paulgraham.com/jessica.html
173,The Refragmentation,http://www.paulgraham.com/re.html
174,Economic Inequality,http://www.paulgraham.com/ineq.html
175,Life is Short,http://www.paulgraham.com/vb.html
176,How to Make Pittsburgh a Startup Hub,http://www.paulgraham.com/pgh.html
177,The Risk of Discovery,http://www.paulgraham.com/disc.html
178,Charisma / Power,http://www.paulgraham.com/pow.html
179,General and Surprising,http://www.paulgraham.com/sun.html
180,The Bus Ticket Theory of Genius,http://www.paulgraham.com/genius.html
181,Novelty and Heresy,http://www.paulgraham.com/nov.html
182,The Lesson to Unlearn,http://www.paulgraham.com/lesson.html
183,Having Kids,http://www.paulgraham.com/kids.html
184,Fashionable Problems,http://www.paulgraham.com/fp.html
185,The Two Kinds of Moderate,http://www.paulgraham.com/mod.html
186,Haters,http://www.paulgraham.com/fh.html
187,Being a Noob,http://www.paulgraham.com/noob.html
188,How to Write Usefully,http://www.paulgraham.com/useful.html
189,Coronavirus and Credibility,http://www.paulgraham.com/cred.html
190,Orthodox Privilege,http://www.paulgraham.com/orth.html
191,The Four Quadrants of Conformism,http://www.paulgraham.com/conformism.html
192,Modeling a Wealth Tax,http://www.paulgraham.com/wtax.html
193,Early Work,http://www.paulgraham.com/early.html
194,How to Think for Yourself,http://www.paulgraham.com/think.html
195,The Airbnbs,http://www.paulgraham.com/airbnbs.html
196,Billionaires Build,http://www.paulgraham.com/ace.html
197,Earnestness,http://www.paulgraham.com/earnest.html
198,What I Worked On,http://www.paulgraham.com/worked.html
199,Donate Unrestricted,http://www.paulgraham.com/donate.html
200,Write Simply,http://www.paulgraham.com/simply.html
201,How People Get Rich Now,http://www.paulgraham.com/richnow.html
202,The Real Reason to End the Death Penalty,http://www.paulgraham.com/real.html
203,An NFT That Saves Lives,http://www.paulgraham.com/nft.html
204,Crazy New Ideas,http://www.paulgraham.com/newideas.html
205,Fierce Nerds,http://www.paulgraham.com/fn.html
206,A Project of One's Own,http://www.paulgraham.com/own.html
207,How to Work Hard,http://www.paulgraham.com/hwh.html
208,Weird Languages,http://www.paulgraham.com/weird.html
209,Beyond Smart,http://www.paulgraham.com/smart.html
210,Is There Such a Thing as Good Taste?,http://www.paulgraham.com/goodtaste.html
211,Putting Ideas into Words,http://www.paulgraham.com/words.html
212,Heresy,http://www.paulgraham.com/heresy.html
213,What I've Learned from Users,http://www.paulgraham.com/users.html
214,Alien Truth,http://www.paulgraham.com/alien.html
215,What You (Want to)* Want,http://www.paulgraham.com/want.html
216,The Need to Read,http://www.paulgraham.com/read.html
217,How to Get New Ideas,http://www.paulgraham.com/getideas.html
218,How to Do Great Work,http://www.paulgraham.com/greatwork.html
